Y,X,Station,VR2W
33.5927,-118.0067,OCSD_1,129778
33.5909,-118.0018,OCSD_2,129789
33.58909,-117.9968,OCSD_3,109175
33.58729,-117.9919,OCSD_4,129790
33.58548,-117.9869,OCSD_5,129792
33.58873,-118.0092,OCSD_6,109158
33.58693,-118.0043,OCSD_7,100162
33.58512,-117.9993,OCSD_8,103958
33.58332,-117.9944,OCSD_9,109170
33.58151,-117.9894,OCSD_10,114012
33.58477,-118.0118,OCSD_11,102743
33.58297,-118.0069,OCSD_12,129791
33.58116,-118.0019,OCSD_13,109200
33.57936,-117.997,OCSD_14,112752
33.57755,-117.992,OCSD_15,109156
33.5808,-118.0143,OCSD_16,129551
33.579,-118.0094,OCSD_17,103955
33.57719,-118.0044,OCSD_18,109188
33.57539,-117.9995,OCSD_19,109196
33.57358,-117.9945,OCSD_20,109201
33.57683,-118.0168,OCSD_21,114013
33.57503,-118.0119,OCSD_22,110680
33.57322,-118.0069,OCSD_23,104919
33.57142,-118.002,OCSD_24,109186
